Course_ID,Course_Name,Course_Type,Delivery_Mode,Class_Size,Difficulty_Rating,Instructor_ID,Instructor_Tenure,Instructor_Field,Student_ID,Year,Enrollment_Status,Overall_GPA,Grade_in_Course,Feedback_Text,Date_Submitted,Numeric_Rating_Instructor,Numeric_Rating_Course,Overall_Satisfaction,Cleaned_Feedback,Tokens,Tokens_NoStop,Lemmas,VADER_Scores,neg,neu,pos,compound,Sentiment_Label
CSE174,Balanced solution-oriented groupware,Lab,In-Person,100.0,3.0,I3947,No,Mathematics,S54300,Senior,Part-time,3.81,B,The professor was very engaging and the course material was clear.,2025-01-26,4.0,2.0,1.0,the professor was very engaging and the course material was clear,"['the', 'professor', 'was', 'very', 'engaging', 'and', 'the', 'course', 'material', 'was', 'clear']","['professor', 'engaging', 'course', 'material', 'clear']","['professor', 'engage', 'course', 'material', 'clear']","{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.6478}",0.0,0.63,0.37,0.6478,Positive
CSE418,Seamless tertiary encoding,Lab,Online,63.0,2.0,I1123,No,Computer Science,S43210,Sophomore,Full-time,3.21,D,I liked the assignments but found the lectures boring.,2025-03-08,1.0,5.0,5.0,i liked the assignments but found the lectures boring,"['i', 'liked', 'the', 'assignments', 'but', 'found', 'the', 'lectures', 'boring']","['liked', 'assignments', 'found', 'lectures', 'boring']","['like', 'assignment', 'find', 'lecture', 'boring']","{'neg': 0.272, 'neu': 0.553, 'pos': 0.175, 'compound': -0.2617}",0.272,0.553,0.175,-0.2617,Negative
CSE399,Balanced systemic instruction set,Seminar,In-Person,23.0,3.0,I1340,Yes,Psychology,S99523,Senior,Full-time,2.45,C,Poor structure and lack of feedback made this class difficult.,2024-12-23,5.0,5.0,4.0,poor structure and lack of feedback made this class difficult,"['poor', 'structure', 'and', 'lack', 'of', 'feedback', 'made', 'this', 'class', 'difficult']","['poor', 'structure', 'lack', 'feedback', 'class', 'difficult']","['poor', 'structure', 'lack', 'feedback', 'class', 'difficult']","{'neg': 0.53, 'neu': 0.47, 'pos': 0.0, 'compound': -0.7845}",0.53,0.47,0.0,-0.7845,Negative
CSE205,Front-line zero tolerance workforce,Lecture,Online,59.0,2.0,I9773,Yes,History,S37128,Freshman,Full-time,3.83,B,I struggled with the pace and the material was unclear.,2025-02-22,1.0,2.0,3.0,i struggled with the pace and the material was unclear,"['i', 'struggled', 'with', 'the', 'pace', 'and', 'the', 'material', 'was', 'unclear']","['struggled', 'pace', 'material', 'unclear']","['struggle', 'pace', 'material', 'unclear']","{'neg': 0.386, 'neu': 0.614, 'pos': 0.0, 'compound': -0.5267}",0.386,0.614,0.0,-0.5267,Negative
CSE349,Multi-lateral motivating superstructure,Lab,Hybrid,53.0,5.0,I4581,No,History,S30918,Sophomore,Part-time,3.99,D,Poor structure and lack of feedback made this class difficult.,2025-02-09,2.0,1.0,3.0,poor structure and lack of feedback made this class difficult,"['poor', 'structure', 'and', 'lack', 'of', 'feedback', 'made', 'this', 'class', 'difficult']","['poor', 'structure', 'lack', 'feedback', 'class', 'difficult']","['poor', 'structure', 'lack', 'feedback', 'class', 'difficult']","{'neg': 0.53, 'neu': 0.47, 'pos': 0.0, 'compound': -0.7845}",0.53,0.47,0.0,-0.7845,Negative
CSE361,Visionary executive success,Lab,Online,36.0,5.0,I7749,No,Psychology,S51900,Sophomore,Full-time,2.47,F,Great experience! I learned a lot and felt supported.,2024-09-26,1.0,3.0,4.0,great experience i learned a lot and felt supported,"['great', 'experience', 'i', 'learned', 'a', 'lot', 'and', 'felt', 'supported']","['great', 'experience', 'learned', 'lot', 'felt', 'supported']","['great', 'experience', 'learn', 'lot', 'felt', 'support']","{'neg': 0.0, 'neu': 0.428, 'pos': 0.572, 'compound': 0.7712}",0.0,0.428,0.572,0.7712,Positive
CSE443,Quality-focused mobile knowledgebase,Lab,In-Person,30.0,3.0,I6806,Yes,Psychology,S21393,Junior,Full-time,3.01,D,"It was an average experience—not too hard, not too easy.",2024-11-17,4.0,4.0,2.0,it was an average experience—not too hard not too easy,"['it', 'was', 'an', 'average', 'experience', '—', 'not', 'too', 'hard', 'not', 'too', 'easy']","['average', 'experience', '—', 'hard', 'easy']","['average', 'experience', 'hard', 'easy']","{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.4226}",0.322,0.678,0.0,-0.4226,Negative
CSE304,Advanced holistic strategy,Lecture,Online,43.0,3.0,I8428,No,History,S82698,Freshman,Full-time,3.37,F,I really enjoyed this class. It was well-organized and informative.,2024-10-17,5.0,4.0,1.0,i really enjoyed this class it was wellorganized and informative,"['i', 'really', 'enjoyed', 'this', 'class', 'it', 'was', 'wellorganized', 'and', 'informative']","['enjoyed', 'class', 'wellorganized', 'informative']","['enjoy', 'class', 'wellorganize', 'informative']","{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.5563}",0.0,0.69,0.31,0.5563,Positive
CSE441,Reduced composite conglomeration,Lab,Hybrid,40.0,4.0,I2939,Yes,Psychology,S78716,Freshman,Full-time,3.98,D,Great experience! I learned a lot and felt supported.,2025-01-08,1.0,1.0,1.0,great experience i learned a lot and felt supported,"['great', 'experience', 'i', 'learned', 'a', 'lot', 'and', 'felt', 'supported']","['great', 'experience', 'learned', 'lot', 'felt', 'supported']","['great', 'experience', 'learn', 'lot', 'felt', 'support']","{'neg': 0.0, 'neu': 0.428, 'pos': 0.572, 'compound': 0.7712}",0.0,0.428,0.572,0.7712,Positive
CSE418,Open-source grid-enabled success,Lecture,Online,94.0,4.0,I5338,Yes,Mathematics,S52397,Sophomore,Full-time,2.05,A,I liked the assignments but found the lectures boring.,2025-02-02,2.0,1.0,3.0,i liked the assignments but found the lectures boring,"['i', 'liked', 'the', 'assignments', 'but', 'found', 'the', 'lectures', 'boring']","['liked', 'assignments', 'found', 'lectures', 'boring']","['like', 'assignment', 'find', 'lecture', 'boring']","{'neg': 0.272, 'neu': 0.553, 'pos': 0.175, 'compound': -0.2617}",0.272,0.553,0.175,-0.2617,Negative
CSE497,Cloned optimizing capacity,Lab,Hybrid,70.0,2.0,I2987,No,History,S68336,Sophomore,Full-time,2.02,D,"The class was okay. Some parts were good, others not so much.",2024-12-29,1.0,3.0,5.0,the class was okay some parts were good others not so much,"['the', 'class', 'was', 'okay', 'some', 'parts', 'were', 'good', 'others', 'not', 'so', 'much']","['class', 'okay', 'parts', 'good']","['class', 'okay', 'part', 'good']","{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.5859}",0.0,0.676,0.324,0.5859,Positive
CSE480,Inverse optimizing knowledgebase,Seminar,Hybrid,66.0,1.0,I6858,Yes,Computer Science,S42196,Senior,Full-time,3.14,C,I liked the assignments but found the lectures boring.,2024-10-26,2.0,5.0,3.0,i liked the assignments but found the lectures boring,"['i', 'liked', 'the', 'assignments', 'but', 'found', 'the', 'lectures', 'boring']","['liked', 'assignments', 'found', 'lectures', 'boring']","['like', 'assignment', 'find', 'lecture', 'boring']","{'neg': 0.272, 'neu': 0.553, 'pos': 0.175, 'compound': -0.2617}",0.272,0.553,0.175,-0.2617,Negative
